X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ENSG_clean,SYMBOL
ENSG00000136052.10,99.88996189,-1.379364827,0.510776728,-2.700524031,0.006923034,0.100828972,ENSG00000136052,SLC41A2
ENSG00000221916.4,16.45375342,-2.718669882,1.006776867,-2.700369835,0.006926243,0.10083024,ENSG00000221916,C19orf73
ENSG00000177410.13,86.67009116,-1.427172356,0.528593627,-2.69994242,0.006935148,0.100868913,ENSG00000177410,ZFAS1
ENSG00000162976.13,38.76367602,-1.719754488,0.638547695,-2.693227931,0.007076387,0.102186705,ENSG00000162976,SLC66A3
ENSG00000177683.14,55.77073,-1.518246126,0.56391377,-2.692337386,0.007095313,0.102414194,ENSG00000177683,THAP5
ENSG00000111142.14,88.76160767,-1.36630506,0.507790209,-2.690688077,0.007130483,0.102779383,ENSG00000111142,METAP2
ENSG00000161179.14,31.46199633,-2.232450806,0.829879872,-2.69008911,0.007143294,0.102830952,ENSG00000161179,YDJC
ENSG00000281005.2,66.28286752,-1.655289616,0.61635041,-2.685630754,0.007239304,0.103742895,ENSG00000281005,LINC00921
ENSG00000134371.14,136.8424521,-1.351683775,0.503488589,-2.684636366,0.007260876,0.103840777,ENSG00000134371,CDC73
ENSG00000214842.6,54.33484592,-1.601348295,0.598311092,-2.676447612,0.00744072,0.105698812,ENSG00000214842,RAD51AP2
ENSG00000175592.9,46.1294195,-1.84510664,0.689946687,-2.674274223,0.007489119,0.10615283,ENSG00000175592,FOSL1
ENSG00000138382.15,33.48290374,-1.735197813,0.649663829,-2.670916458,0.007564447,0.106798615,ENSG00000138382,METTL5
ENSG00000129235.11,49.40088398,-1.589758865,0.595188294,-2.671018369,0.007562151,0.106798615,ENSG00000129235,TXNDC17
ENSG00000254682.2,19.4341341,-2.402836075,0.900285211,-2.668972062,0.007608378,0.106998649,ENSG00000254682,DHCR7-DT
ENSG00000063244.14,85.08389137,-1.736559198,0.650772404,-2.668458569,0.007620018,0.107068211,ENSG00000063244,U2AF2
ENSG00000204311.15,50.82878507,-1.72421796,0.646648136,-2.666392841,0.007667004,0.107634742,ENSG00000204311,PJVK
ENSG00000120837.8,60.14609634,-1.500819761,0.562941811,-2.666030008,0.007675284,0.10770415,ENSG00000120837,NFYB
ENSG00000159199.14,47.02764398,-1.605562189,0.602482835,-2.664909432,0.007700906,0.107969845,ENSG00000159199,ATP5MC1
ENSG00000116251.11,55.53737643,-1.473459662,0.553384277,-2.662633765,0.007753175,0.108139204,ENSG00000116251,RPL22
ENSG00000075131.10,60.64843171,-1.571806435,0.590485795,-2.661886953,0.007770397,0.108278234,ENSG00000075131,TIPIN
ENSG00000152503.10,89.41200927,-1.353698466,0.508886369,-2.660119325,0.007811297,0.108476368,ENSG00000152503,TRIM36
ENSG00000213977.8,16.90193018,-7.366007708,2.76873184,-2.660426554,0.007804175,0.108476368,ENSG00000213977,TAX1BP3
ENSG00000012061.17,88.17414322,-1.633893226,0.615924194,-2.652750522,0.007983886,0.109979387,ENSG00000012061,ERCC1
ENSG00000154945.7,64.51462595,-1.476021269,0.557073254,-2.649599955,0.008058713,0.11008338,ENSG00000154945,ANKRD40
ENSG00000153187.21,232.1208806,-1.476589145,0.557719404,-2.647548453,0.008107774,0.110367587,ENSG00000153187,HNRNPU
ENSG00000198856.13,21.55317968,-2.201218435,0.831826653,-2.646246577,0.008139046,0.11042087,ENSG00000198856,OSTC
ENSG00000290398.1,9.643681736,2.955443698,1.120392881,2.637863688,0.008343011,0.112268589,ENSG00000290398,ASNSP1
ENSG00000133466.14,131.2828738,-1.541949017,0.585089709,-2.635406151,0.008403666,0.112544992,ENSG00000133466,C1QTNF6
ENSG00000039650.12,70.28064656,-1.596430625,0.606385309,-2.632700036,0.008470912,0.113014422,ENSG00000039650,PNKP
ENSG00000260260.3,19.05174885,-2.368600358,0.900670667,-2.629818475,0.008543047,0.113429081,ENSG00000260260,SNHG19
ENSG00000257725.1,13.2091889,-2.940482029,1.120027249,-2.625366509,0.008655574,0.114213255,ENSG00000257725,LINC02399
ENSG00000196754.13,47.47065592,-1.888689439,0.719918281,-2.623477537,0.008703718,0.114759653,ENSG00000196754,S100A2
ENSG00000100796.18,92.81580247,-1.33988406,0.510773499,-2.623245062,0.00870966,0.114768128,ENSG00000100796,PPP4R3A
ENSG00000100714.18,258.017697,-1.186985448,0.453352563,-2.61823919,0.008838483,0.115869171,ENSG00000100714,MTHFD1
ENSG00000184349.14,96.2272353,-1.279787433,0.488998841,-2.617158418,0.008866518,0.116095297,ENSG00000184349,EFNA5
ENSG00000263412.3,53.830661,-1.638987341,0.62652611,-2.615992077,0.008896862,0.116445393,ENSG00000263412,NFE2L1-DT
ENSG00000138032.21,57.24833899,-1.692697634,0.647127289,-2.615710483,0.008904202,0.11649424,ENSG00000138032,PPM1B
ENSG00000184007.22,93.75410979,-1.279362552,0.489716289,-2.612456603,0.00898941,0.117243965,ENSG00000184007,PTP4A2
ENSG00000198805.13,78.20172936,-1.408373451,0.539448259,-2.610766516,0.009033955,0.117667353,ENSG00000198805,PNP
ENSG00000174721.10,28.56659058,-1.78579838,0.684250958,-2.609858795,0.00905796,0.117884917,ENSG00000174721,FGFBP3
ENSG00000129315.12,173.2834934,-1.218063761,0.466843549,-2.609147676,0.009076806,0.118082593,ENSG00000129315,CCNT1
ENSG00000184903.10,72.40035221,-1.416547298,0.54300044,-2.608740609,0.00908761,0.118175528,ENSG00000184903,IMMP2L
ENSG00000138668.20,91.51419637,-1.420957507,0.545475711,-2.604987679,0.009187756,0.119094125,ENSG00000138668,HNRNPD
